TiePointId,MunicipalityName,TiePointName,LPCSNorthing,LPCSEasting,PPCSNorthing,PPCSEasting,PRSNorthing,PRSEasting
5431,SANTIAGO CITY,"CAD 211, BLLM # 45",43793.98,27088.71,,,,
5432,SANTIAGO CITY,"CAD 211, BLLM # 46",43807.27,28936.49,,,,
5433,SANTIAGO CITY,"CAD 211, BLLM # 47",43807.55,29368.63,,,,
5434,SANTIAGO CITY,"CAD 211, BLLM # 48",43778.43,31029.87,,,,
5435,SANTIAGO CITY,"CAD 211, BLLM # 49",43788,31407.49,,,,
5437,SANTIAGO CITY,"CAD 211, BLLM # 50",43785.27,32665.43,,,,
5438,SANTIAGO CITY,"CAD 211, BLLM # 51",42689.38,24369.4,,,,
5439,SANTIAGO CITY,"CAD 211, BLLM # 52",42817.93,26179,,,,
5440,SANTIAGO CITY,"CAD 211, BLLM # 53",42797.73,27274.48,,,,
5443,SANTIAGO CITY,"CAD 211, BLLM # 56",42231.59,32803.26,,,,
5444,SANTIAGO CITY,"CAD 211, BLLM # 57",41740.38,25245.43,,,,
5445,SANTIAGO CITY,"CAD 211, BLLM # 58",41735.15,25707.36,,,,
5447,SANTIAGO CITY,"CAD 211, BLLM # 6",30960.83,33433.48,,,,
5448,SANTIAGO CITY,"CAD 211, BLLM # 60",41727.56,27752.92,,,,
5450,SANTIAGO CITY,"CAD 211, BLLM # 62",41679.76,30123.74,,,,
5451,SANTIAGO CITY,"CAD 211, BLLM # 63",41678.22,31771.32,,,,
5453,SANTIAGO CITY,"CAD 211, BLLM # 65",32416.91,27169.32,,,,
5454,SANTIAGO CITY,"CAD 211, BLLM # 66",32423.01,25230.98,,,,
5455,SANTIAGO CITY,"CAD 211, BLLM # 67",32426.95,24731.57,,,,
5456,SANTIAGO CITY,"CAD 211, BLLM # 68",32447.23,21728.36,,,,
5457,SANTIAGO CITY,"CAD 211, BLLM # 69",32546.41,21232.52,,,,
5458,SANTIAGO CITY,"CAD 211, BLLM # 7",30925.43,35239.23,,,,
5459,SANTIAGO CITY,"CAD 211, BLLM # 70",30113.44,20731.11,,,,
5460,SANTIAGO CITY,"CAD 211, BLLM # 71",30122.68,20528.62,,,,
5461,SANTIAGO CITY,"CAD 211, BLLM # 72",26644.67,21831.51,,,,
5463,SANTIAGO CITY,"CAD 211, BLLM # 74",24427.76,26144.46,,,,
5464,SANTIAGO CITY,"CAD 211, BLLM # 75",24367.34,26150.69,,,,
5465,SANTIAGO CITY,"CAD 211, BLLM # 76",26576.74,19450.58,,,,
5466,SANTIAGO CITY,"CAD 211, BLLM # 77",26538.79,19358.38,,,,
5467,SANTIAGO CITY,"CAD 211, BLLM # 78",28810.11,30098.11,,,,
5468,SANTIAGO CITY,"CAD 211, BLLM # 79",28816.28,30379.39,,,,
5469,SANTIAGO CITY,"CAD 211, BLLM # 8",32357.35,29232.3,,,,
5470,SANTIAGO CITY,"CAD 211, BLLM # 80",26931.84,30072.82,,,,
5471,SANTIAGO CITY,"CAD 211, BLLM # 81",26922.79,30410.58,,,,
5472,SANTIAGO CITY,"CAD 211, BLLM # 82",25521.22,30592.17,,,,
5474,SANTIAGO CITY,"CAD 211, BLLM # 84",28651.72,34126.76,,,,
5475,SANTIAGO CITY,"CAD 211, BLLM # 85",28630.37,34513.03,,,,
5476,SANTIAGO CITY,"CAD 211, BLLM # 86",26868.72,33751.49,,,,
5477,SANTIAGO CITY,"CAD 211, BLLM # 87",26863.65,34212.9,,,,
5478,SANTIAGO CITY,"CAD 211, BLLM # 88",21806.18,33609.28,,,,
5479,SANTIAGO CITY,"CAD 211, BLLM # 89",34335.9,27063.1,,,,
5480,SANTIAGO CITY,"CAD 211, BLLM # 9",32332.94,29792.98,,,,
5481,SANTIAGO CITY,"CAD 211, BLLM # 90",34352.95,27551.81,,,,
5482,SANTIAGO CITY,"CAD 211, BLLM # 91",36582.73,27584,,,,
5483,SANTIAGO CITY,"CAD 211, BLLM # 92",36531.85,27027.24,,,,
5484,SANTIAGO CITY,"CAD 211, BLLM # 93",30770.68,28462.5,,,,
5485,SANTIAGO CITY,"CAD 211, BLLM # 94",34335.2,25301.6,,,,
5486,SANTIAGO CITY,"CAD 211, BLLM # 95",34334.86,24965.33,,,,
5487,SANTIAGO CITY,"CAD 211, BLLM # 96",36432.72,25433.07,,,,
5488,SANTIAGO CITY,"CAD 211, BLLM # 97",36409.49,24869.72,,,,
5489,SANTIAGO CITY,"CAD 211, BLLM # 98",36326.44,23378.51,,,,
5490,SANTIAGO CITY,"CAD 211, BLLM # 99",36321.49,23181.69,,,,
5491,SANTIAGO CITY,"CAD 211, MBM # 1",39464.48,32833.62,,,,
5492,SANTIAGO CITY,"CAD 211, MBM # 7",29206.7,36665.38,,,,
5493,SANTIAGO CITY,"CAD 211, MBM # 8",23721.31,33682.69,,,,
5494,SANTIAGO CITY,"CAD 211, MBM # 9",20645.69,35603.68,,,,
