POINT,NORTH,EAST,ELEV,DESC
1477,1981391.565,569487.0325,68.7509,tp
1478,1981390.661,569484.0128,69.1709,tp
1479,1981387.127,569487.1371,68.3464,tp
1480,1981383.686,569486.5171,67.6721,tp
1481,1981380.21,569484.8509,67.1999,tree
1482,1981375.168,569485.9286,66.1858,tp
1483,1981378.678,569481.8725,68.3802,tp
1484,1981371.389,569484.4545,65.7096,tp
1485,1981369.028,569486.5119,64.2506,tp
1486,1981365.785,569483.7143,64.2935,tp
1487,1981367.926,569481.0769,65.8777,tp
1488,1981364.691,569477.7952,66.152,tp
1489,1981362.185,569479.6212,64.7469,tp
1490,1981358.901,569476.3768,64.595,tp
1491,1981361.275,569473.9936,66.2349,tp
1492,1981358.561,569471.1431,66.24,tp
1493,1981356.097,569472.5686,64.9646,tp
1494,1981353.432,569469.59,65.4695,tp
1495,1981355.913,569466.998,66.5961,tp
1496,1981351.231,569461.176,67.2043,tp
1497,1981348.494,569461.268,65.7928,tp
1498,1981345.246,569456.4871,65.5308,tp
1499,1981347.548,569454.7379,67.2569,tp
1500,1981345.738,569451.1742,65.9145,tp
1501,1981345.841,569448.2407,66.6135,tp
1502,1981341.621,569441.8102,67.1435,tp
1503,1981338.824,569443.4502,65.4258,tp
